"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGas_4";"ImportsOfLiquefiedNaturalGasLng_5";"ExportsOfGaseousNaturalGas_6";"ExportsOfLiquefiedNaturalGasLng_7";"StockChange_8"
"0";"1946JJ00";"       0";"       0";"       .";"";"";"";"";""
"1";"1947JJ00";"       1";"       1";"       .";"";"";"";"";""
"2";"1948JJ00";"       5";"       5";"       .";"";"";"";"";""
"3";"1949JJ00";"       7";"       7";"       .";"";"";"";"";""
"4";"1950JJ00";"       5";"       5";"       .";"";"";"";"";""
"5";"1951JJ00";"       9";"       9";"       .";"";"";"";"";""
"6";"1952JJ00";"      15";"      15";"       .";"";"";"";"";""
"7";"1953JJ00";"      24";"      24";"       .";"";"";"";"";""
"8";"1954JJ00";"      91";"      91";"       .";"";"";"";"";""
"9";"1955JJ00";"     128";"     128";"       .";"";"";"";"";""
"10";"1956JJ00";"     143";"     143";"       .";"";"";"";"";""
"11";"1957JJ00";"     137";"     137";"       .";"";"";"";"";""
"12";"1958JJ00";"     173";"     173";"       .";"";"";"";"";""
"13";"1959JJ00";"     215";"     215";"       .";"";"";"";"";""
"14";"1960JJ00";"     312";"     312";"       .";"";"";"";"";""
"15";"1961JJ00";"     426";"     426";"       .";"";"";"";"";""
"16";"1962JJ00";"     524";"     524";"       .";"";"";"";"";""
"17";"1963JJ00";"     619";"     619";"       .";"";"";"";"";""
"18";"1964JJ00";"     857";"     869";"       .";"";"";"      12";"";""
"19";"1965JJ00";"    1702";"    1738";"       .";"";"";"      36";"";""
"20";"1966JJ00";"    3262";"    3405";"       .";"";"";"     143";"";""
"21";"1967JJ00";"    5739";"    7108";"       .";"";"";"    1369";"";""
"22";"1968JJ00";"    9679";"   14215";"       .";"";"";"    4536";"";""
"23";"1969JJ00";"   14263";"   22037";"       .";"";"";"    7774";"";""
"24";"1970JJ00";"   20073";"   31764";"       .";"";"";"   11691";"";""
"25";"1971JJ00";"   26228";"   43896";"       .";"";"";"   17668";"";""
"26";"1972JJ00";"   34121";"   58516";"       .";"";"";"   24395";"";""
"27";"1973JJ00";"   37931";"   71148";"       .";"";"";"   33217";"";""
"28";"1974JJ00";"   40384";"   84351";"       .";"";"";"   43967";"";""
"29";"1975JJ00";"   42093";"   91366";"       .";"";"";"   49295";"";"      22"
"30";"1976JJ00";"   43735";"   97631";"       .";"";"";"   53892";"";"      -4"
"31";"1977JJ00";"   43893";"   97953";"       .";"     291";"";"   54319";"";"     -32"
"32";"1978JJ00";"   43989";"   89667";"       .";"    1760";"";"   47383";"";"     -55"
"33";"1979JJ00";"   43786";"   94040";"       .";"    2068";"";"   52312";"";"     -10"
"34";"1980JJ00";"   40030";"   90929";"       .";"    3786";"";"   54685";"";"       0"
"35";"1981JJ00";"   38105";"   84433";"       .";"    3352";"";"   49670";"";"     -10"
"52";"1982JJ00";"   36230";"   72011";"       .";"    3390";"";"   39173";"";"       2"
"69";"1983JJ00";"   38547";"   76497";"       .";"    3180";"";"   41130";"";"       0"
"86";"1984JJ00";"   40719";"   77205";"       .";"    3419";"";"   39917";"";"      12"
"103";"1985JJ00";"   42756";"   80668";"       .";"    2091";"";"   40019";"";"      16"
"120";"1986JJ00";"   42878";"   73897";"       .";"    1987";"";"   33010";"";"       4"
"137";"1987JJ00";"   44368";"   74153";"       .";"    2130";"";"   31899";"";"     -16"
"154";"1988JJ00";"   40252";"   65542";"       .";"    2513";"";"   27779";"";"     -24"
"171";"1989JJ00";"   41137";"   71570";"       .";"    2594";"";"   33036";"";"       9"
"188";"1990JJ00";"   40658";"   72131";"       0";"    2688";"";"   34167";"";"       6"
"205";"1991JJ00";"   45465";"   81554";"      12";"    2317";"";"   38407";"";"     -11"
"222";"1992JJ00";"   44048";"   81903";"      12";"    2798";"";"   40664";"";"      -1"
"239";"1993JJ00";"   45204";"   83492";"      12";"    3340";"";"   41625";"";"     -15"
"256";"1994JJ00";"   44140";"   79198";"      12";"    3481";"";"   38545";"";"      -6"
"273";"1995JJ00";"   45643";"   80512";"      12";"    3652";"";"   38533";"";"       0"
"290";"1996JJ00";"   50282";"   91120";"      12";"    5397";"";"   46255";"";"       8"
"307";"1997JJ00";"   47305";"   80702";"      12";"    6843";"";"   40237";"";"     -15"
"324";"1998JJ00";"   47001";"   76979";"      12";"    6831";"";"   36841";"";"      20"
"341";"1999JJ00";"   45767";"   71582";"      24";"   10253";"";"   36102";"";"      10"
"358";"2000JJ00";"   46243";"   69796";"      24";"   16500";"";"   39329";"";"    -748"
"375";"2001JJ00";"   47462";"   73531";"      12";"   20267";"";"   46950";"";"     602"
"392";"2002JJ00";"   47357";"   72251";"      12";"   25363";"";"   49766";"";"    -503"
"409";"2003JJ00";"   47608";"   69062";"      12";"   24147";"";"   45581";"";"     -32"
"426";"2004JJ00";"   48616";"   81459";"      12";"   17860";"";"   50742";"";"      27"
"443";"2005JJ00";"   46744";"   74312";"      12";"   21747";"";"   49445";"";"     118"
"460";"2006JJ00";"   45327";"   73370";"      24";"   23866";"";"   51813";"";"    -120"
"477";"2007JJ00";"   44134";"   70526";"      36";"   24735";"";"   52769";"";"    1606"
"494";"2008JJ00";"   45881";"   80654";"      48";"   25081";"";"   58504";"";"   -1398"
"511";"2009JJ00";"   46963";"   74501";"      48";"   24323";"";"   52717";"";"     808"
"528";"2010JJ00";"   53046";"   85606";"      48";"   24408";"";"   56433";"";"    -583"
"545";"2011JJ00";"   46412";"   79046";"      57";"   22732";"       0";"   54321";"       0";"   -1102"
"562";"2012JJ00";"   44370";"   77804";"      76";"   25622";"     961";"   60238";"       0";"     145"
"579";"2013JJ00";"   44250";"   82358";"      90";"   27907";"     942";"   66891";"     347";"     191"
"596";"2014JJ00";"   38598";"   68684";"     102";"   28344";"    1187";"   57717";"     631";"   -1371"
"613";"2015JJ00";"   38038";"   52177";"     129";"   36326";"    2250";"   51117";"    1327";"    -400"
"630";"2016JJ00";"   39918";"   50373";"     139";"   41904";"    1612";"   55445";"    1089";"    2424"
"647";"2017JJ00";"   41097";"   43915";"      43";"   49448";"    1520";"   52072";"     620";"   -1137"
"664";"2018JJ00";"   40794";"   36735";"     148";"   51840";"    5899";"   48872";"    2777";"   -2163"
